,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
24,0.010178558119067316_0.010178558119067316,IFNGR1g1,57.41072736334107,0.0,True,0.0,True,28.705363681670534,0.0,27.0,1,True
25,0.010178558119067316_0.010178558119067316,IFNGR1g2,57.936868387036746,0.0,True,0.0,True,28.968434193518373,0.0,24.0,1,True
26,0.010178558119067316_0.010178558119067316,IFNGR1g3,60.67284583305998,0.0,True,0.0,True,30.33642291652999,0.0,28.0,1,True
27,0.010178558119067316_0.010178558119067316,IFNGR1g4,46.54297764295492,0.0,True,0.0,True,23.27148882147746,0.0,49.0,1,True
28,0.010178558119067316_0.010178558119067316,IFNGR2g1,47.78701081495528,0.0,True,0.0,True,23.89350540747764,0.0,55.0,1,True
29,0.010178558119067316_0.010178558119067316,IFNGR2g2,47.06462609370553,0.0,True,0.0,True,23.532313046852764,0.0,46.0,1,True
30,0.010178558119067316_0.010178558119067316,IFNGR2g3,60.75373740655651,0.0,True,0.0,True,30.376868703278255,0.0,22.0,1,True
31,0.010178558119067316_0.010178558119067316,IFNGR2g4,58.31761501249977,0.0,True,0.0,True,29.158807506249886,0.0,28.0,1,True
32,0.010178558119067316_0.010178558119067316,IRF1g1,56.47168094422839,0.0,True,0.0,True,28.235840472114194,0.0,29.0,1,True
33,0.010178558119067316_0.010178558119067316,IRF1g2,47.78959674517332,0.0,True,0.0,True,23.89479837258666,0.0,55.0,1,True
34,0.010178558119067316_0.010178558119067316,IRF1g3,39.56141839081626,0.0,True,0.0,True,19.78070919540813,0.0,49.0,1,True
35,0.010178558119067316_0.010178558119067316,IRF1g4,41.71799829227682,0.0,True,0.0,True,20.85899914613841,0.0,79.0,1,True
36,0.010178558119067316_0.010178558119067316,IRF7g1,47.97793954093791,0.0,True,0.0,True,23.988969770468955,0.0,45.0,1,True
37,0.010178558119067316_0.010178558119067316,IRF7g2,42.30312126911865,0.0,True,0.0,True,21.151560634559324,0.0,46.0,1,True (gained)
38,0.010178558119067316_0.010178558119067316,IRF7g3,60.48904757104136,0.0,True,0.0,True,30.24452378552068,0.0,23.0,1,True (gained)
39,0.010178558119067316_0.010178558119067316,IRF7g4,48.31634285967133,0.0,True,0.0,True,24.158171429835665,0.0,37.0,1,True
40,0.010178558119067316_0.010178558119067316,JAK2g1,49.86714516364652,0.0,True,0.0,True,24.93357258182326,0.0,44.0,1,True
41,0.010178558119067316_0.010178558119067316,JAK2g2,54.76495165916908,0.0,True,0.0,True,27.38247582958454,0.0,28.0,1,True
42,0.010178558119067316_0.010178558119067316,JAK2g3,69.83439650530391,0.0,True,0.0,True,34.91719825265196,0.0,13.0,1,True
43,0.010178558119067316_0.010178558119067316,JAK2g4,51.05967985360235,0.0,True,0.0,True,25.529839926801174,0.0,38.0,1,True
44,0.010178558119067316_0.010178558119067316,MARCH8g1,46.87341003294804,0.0,True,0.0,True,23.43670501647402,0.0,40.0,1,True (gained)
45,0.010178558119067316_0.010178558119067316,MARCH8g2,40.482817762214474,0.0,True,0.0,True,20.241408881107237,0.0,76.0,1,True
46,0.010178558119067316_0.010178558119067316,MARCH8g3,50.73862503402344,0.0,True,0.0,True,25.36931251701172,0.0,32.0,1,True (gained)
47,0.010178558119067316_0.010178558119067316,MARCH8g4,47.25821231396033,0.0,True,0.0,True,23.629106156980164,0.0,51.0,1,True (gained)
48,0.010178558119067316_0.010178558119067316,NFKBIAg1,49.183726544954155,0.0,True,0.0,True,24.591863272477077,0.0,42.0,1,True (gained)
49,0.010178558119067316_0.010178558119067316,NFKBIAg2,55.1649488028197,0.0,True,0.0,True,27.58247440140985,0.0,22.0,1,True
50,0.010178558119067316_0.010178558119067316,NFKBIAg3,42.9131553964673,0.0,True,0.0,True,21.45657769823365,0.0,58.0,1,True
51,0.010178558119067316_0.010178558119067316,PDCD1LG2g1,37.360176623531444,0.0,True,0.0,True,18.680088311765722,0.0,76.0,1,True (gained)
52,0.010178558119067316_0.010178558119067316,PDCD1LG2g2,69.85926299111007,0.0,True,0.0,True,34.929631495555036,0.0,12.0,1,True (gained)
53,0.010178558119067316_0.010178558119067316,PDCD1LG2g3,63.70983244926976,0.0,True,0.0,True,31.85491622463488,0.0,16.0,1,True
54,0.010178558119067316_0.010178558119067316,PDCD1LG2g4,42.61123254000708,0.0,True,0.0,True,21.30561627000354,0.0,57.0,1,True (gained)
55,0.010178558119067316_0.010178558119067316,POU2F2g1,52.183849242996246,0.0,True,0.0,True,26.091924621498123,0.0,33.0,1,True
56,0.010178558119067316_0.010178558119067316,POU2F2g2,60.8965654080387,0.0,True,0.0,True,30.44828270401935,0.0,18.0,1,True (gained)
57,0.010178558119067316_0.010178558119067316,POU2F2g3,39.28561893628313,0.0,True,0.0,True,19.642809468141564,0.0,53.0,1,True
58,0.010178558119067316_0.010178558119067316,SMAD4g1,64.57894839375548,0.0,True,0.0,True,32.28947419687774,0.0,15.0,1,True
59,0.010178558119067316_0.010178558119067316,SMAD4g2,65.94568759379231,0.0,True,0.0,True,32.97284379689616,0.0,20.0,1,True
60,0.010178558119067316_0.010178558119067316,SMAD4g3,61.24682580161432,0.0,True,0.0,True,30.62341290080716,0.0,30.0,1,True
61,0.010178558119067316_0.010178558119067316,SMAD4g4,68.14845547031904,0.0,True,0.0,True,34.07422773515952,0.0,17.0,1,True
62,0.010178558119067316_0.010178558119067316,STAT1g1,38.95305054445358,0.0,True,0.0,True,19.47652527222679,0.0,64.0,1,True
63,0.010178558119067316_0.010178558119067316,STAT1g2,69.25039832392906,0.0,True,0.0,True,34.62519916196453,0.0,12.0,1,True
64,0.010178558119067316_0.010178558119067316,STAT1g3,48.348661187944614,0.0,True,0.0,True,24.174330593972307,0.0,49.0,1,True
65,0.010178558119067316_0.010178558119067316,STAT2g1,65.88694378648424,0.0,True,0.0,True,32.94347189324212,0.0,22.0,1,True
66,0.010178558119067316_0.010178558119067316,STAT2g2,45.83736756272409,0.0,True,0.0,True,22.918683781362045,0.0,47.0,1,True
67,0.010178558119067316_0.010178558119067316,STAT2g3,56.79835185691972,0.0,True,0.0,True,28.39917592845986,0.0,26.0,1,True
68,0.010178558119067316_0.010178558119067316,STAT2g4,60.02909758595084,0.0,True,0.0,True,30.01454879297542,0.0,26.0,1,True
69,0.010178558119067316_0.010178558119067316,STAT3g1,71.76841756769137,0.0,True,0.0,True,35.884208783845686,0.0,10.0,1,True (gained)
70,0.010178558119067316_0.010178558119067316,STAT3g2,64.39580739038651,0.0,True,0.0,True,32.197903695193254,0.0,20.0,1,True (gained)
71,0.010178558119067316_0.010178558119067316,STAT3g3,62.78689982995159,0.0,True,0.0,True,31.393449914975793,0.0,18.0,1,True
72,0.010178558119067316_0.010178558119067316,STAT3g4,61.1558160826608,0.0,True,0.0,True,30.5779080413304,0.0,29.0,1,True
73,0.010178558119067316_0.010178558119067316,STAT5Ag1,64.88892096902983,0.0,True,0.0,True,32.44446048451491,0.0,16.0,1,True
74,0.010178558119067316_0.010178558119067316,STAT5Ag2,57.593321794919795,0.0,True,0.0,True,28.796660897459898,0.0,23.0,1,True (gained)
75,0.010178558119067316_0.010178558119067316,STAT5Ag3,71.0919675714869,0.0,True,0.0,True,35.54598378574345,0.0,13.0,1,True (gained)
76,0.010178558119067316_0.010178558119067316,STAT5Ag4,54.2760771547444,0.0,True,0.0,True,27.1380385773722,0.0,31.0,1,True (gained)
77,0.010178558119067316_0.010178558119067316,TNFRSF14g1,66.36423622708399,0.0,True,0.0,True,33.182118113541996,0.0,18.0,1,True (gained)
78,0.010178558119067316_0.010178558119067316,TNFRSF14g2,46.6041819767724,0.0,True,0.0,True,23.3020909883862,0.0,36.0,1,True (gained)
79,0.010178558119067316_0.010178558119067316,TNFRSF14g3,62.22380767163346,0.0,True,0.0,True,31.11190383581673,0.0,19.0,1,True (gained)
80,0.010178558119067316_0.010178558119067316,UBE2L6g1,66.59633731949918,0.0,True,0.0,True,33.29816865974959,0.0,9.0,1,True (gained)
81,0.010178558119067316_0.010178558119067316,UBE2L6g2,47.782290832460035,0.0,True,0.0,True,23.891145416230017,0.0,31.0,1,True (gained)
82,0.010178558119067316_0.010178558119067316,UBE2L6g4,60.76701164318141,0.0,True,0.0,True,30.383505821590706,0.0,30.0,1,True (gained)
83,0.010178558119067316_0.010178558119067316,control,0.0,0.0,True,0.0,control,0.0,0.0,20.0,1,control
84,0.010178558119067316_0.09036800464548167,ATF2g1,373.80745814749935,0.0,True,0.0,True,186.90372907374967,0.0,244.0,1,True (gained)
85,0.010178558119067316_0.09036800464548167,ATF2g2,434.90857803945823,0.0,True,0.0,True,217.45428901972912,0.0,183.0,1,True
86,0.010178558119067316_0.09036800464548167,ATF2g3,388.63802229114333,0.0,True,0.0,True,194.31901114557166,0.0,262.0,1,True
87,0.010178558119067316_0.09036800464548167,ATF2g4,271.31361393976823,0.0,True,0.0,True,135.65680696988412,0.0,537.0,1,True (gained)
88,0.010178558119067316_0.09036800464548167,BRD4g1,383.6024271633435,0.0,True,0.0,True,191.80121358167176,0.0,257.0,1,True
89,0.010178558119067316_0.09036800464548167,BRD4g3,476.0753386079952,0.0,True,0.0,True,238.0376693039976,0.0,143.0,1,True (gained)
90,0.010178558119067316_0.09036800464548167,BRD4g4,374.6974106580041,0.0,True,0.0,True,187.34870532900206,0.0,308.0,1,True
91,0.010178558119067316_0.09036800464548167,CAV1g1,507.62084202611385,0.0,True,0.0,True,253.81042101305692,0.0,230.0,1,True (gained)
92,0.010178558119067316_0.09036800464548167,CAV1g2,286.9443921768221,0.0,True,0.0,True,143.47219608841104,0.0,442.0,1,True (gained)
93,0.010178558119067316_0.09036800464548167,CAV1g3,443.4268336057439,0.0,True,0.0,True,221.71341680287196,0.0,313.0,1,True (gained)
94,0.010178558119067316_0.09036800464548167,CAV1g4,554.5558155558865,0.0,True,0.0,True,277.27790777794326,0.0,132.0,1,True (gained)
95,0.010178558119067316_0.09036800464548167,CD86g1,498.7867925227557,0.0,True,0.0,True,249.39339626137786,0.0,164.0,1,True
96,0.010178558119067316_0.09036800464548167,CD86g2,294.17759025768135,0.0,True,0.0,True,147.08879512884067,0.0,398.0,1,True
97,0.010178558119067316_0.09036800464548167,CD86g3,380.78929445653796,0.0,True,0.0,True,190.39464722826898,0.0,334.0,1,True (gained)
98,0.010178558119067316_0.09036800464548167,CD86g4,254.65577364744578,0.0,True,0.0,True,127.32788682372289,0.0,456.0,1,True
99,0.010178558119067316_0.09036800464548167,CMTM6g1,517.0074888857499,0.0,True,0.0,True,258.50374444287496,0.0,117.0,1,True (gained)
100,0.010178558119067316_0.09036800464548167,CMTM6g2,262.1955141311075,0.0,True,0.0,True,131.09775706555374,0.0,499.0,1,True
101,0.010178558119067316_0.09036800464548167,CMTM6g3,302.5235554749146,0.0,True,0.0,True,151.2617777374573,0.0,323.0,1,True (gained)
102,0.010178558119067316_0.09036800464548167,CUL3g1,481.9739203473483,0.0,True,0.0,True,240.98696017367416,0.0,169.0,1,True
103,0.010178558119067316_0.09036800464548167,CUL3g2,263.1051540403019,0.0,True,0.0,True,131.55257702015095,0.0,375.0,1,True
104,0.010178558119067316_0.09036800464548167,ETV7g1,526.6821186609512,0.0,True,0.0,True,263.3410593304756,0.0,164.0,1,True (gained)
105,0.010178558119067316_0.09036800464548167,ETV7g2,463.52330514302,0.0,True,0.0,True,231.76165257151,0.0,179.0,1,True (gained)
106,0.010178558119067316_0.09036800464548167,ETV7g3,390.9285829715126,0.0,True,0.0,True,195.4642914857563,0.0,268.0,1,True (gained)
107,0.010178558119067316_0.09036800464548167,ETV7g4,303.0296090096622,0.0,True,0.0,True,151.5148045048311,0.0,446.0,1,True (gained)
108,0.010178558119067316_0.09036800464548167,IFNGR1g1,372.9174742154698,0.0,True,0.0,True,186.4587371077349,0.0,291.0,1,True
109,0.010178558119067316_0.09036800464548167,IFNGR1g2,498.3128008252094,0.0,True,0.0,True,249.1564004126047,0.0,147.0,1,True
110,0.010178558119067316_0.09036800464548167,IFNGR1g3,368.8726519723186,0.0,True,0.0,True,184.4363259861593,0.0,374.0,1,True
111,0.010178558119067316_0.09036800464548167,IFNGR1g4,312.5422784171943,0.0,True,0.0,True,156.27113920859716,0.0,400.0,1,True
112,0.010178558119067316_0.09036800464548167,IFNGR2g1,428.58009286708017,0.0,True,0.0,True,214.29004643354008,0.0,300.0,1,True
113,0.010178558119067316_0.09036800464548167,IFNGR2g2,332.3140892035326,0.0,True,0.0,True,166.1570446017663,0.0,409.0,1,True
114,0.010178558119067316_0.09036800464548167,IFNGR2g3,348.9239167570096,0.0,True,0.0,True,174.4619583785048,0.0,321.0,1,True
115,0.010178558119067316_0.09036800464548167,IFNGR2g4,422.816396467123,0.0,True,0.0,True,211.4081982335615,0.0,339.0,1,True
116,0.010178558119067316_0.09036800464548167,IRF1g1,411.47554879192256,0.0,True,0.0,True,205.73777439596128,0.0,299.0,1,True
117,0.010178558119067316_0.09036800464548167,IRF1g2,273.41555653420505,0.0,True,0.0,True,136.70777826710253,0.0,455.0,1,True
118,0.010178558119067316_0.09036800464548167,IRF1g3,301.4760458777131,0.0,True,0.0,True,150.73802293885655,0.0,582.0,1,True
119,0.010178558119067316_0.09036800464548167,IRF1g4,470.74712048790707,0.0,True,0.0,True,235.37356024395353,0.0,124.0,1,True
120,0.010178558119067316_0.09036800464548167,IRF7g1,282.24354726797685,0.0,True,0.0,True,141.12177363398843,0.0,350.0,1,True
121,0.010178558119067316_0.09036800464548167,IRF7g2,444.36926551366145,0.0,True,0.0,True,222.18463275683072,0.0,244.0,1,True (gained)
122,0.010178558119067316_0.09036800464548167,IRF7g3,294.8065115427815,0.0,True,0.0,True,147.40325577139075,0.0,424.0,1,True (gained)
123,0.010178558119067316_0.09036800464548167,IRF7g4,300.5471753836624,0.0,True,0.0,True,150.2735876918312,0.0,410.0,1,True
124,0.010178558119067316_0.09036800464548167,JAK2g1,463.0138288020944,0.0,True,0.0,True,231.5069144010472,0.0,343.0,1,True
125,0.010178558119067316_0.09036800464548167,JAK2g2,296.298570329965,0.0,True,0.0,True,148.1492851649825,0.0,442.0,1,True
126,0.010178558119067316_0.09036800464548167,JAK2g3,291.7663777935864,0.0,True,0.0,True,145.8831888967932,0.0,484.0,1,True
127,0.010178558119067316_0.09036800464548167,JAK2g4,428.2735678927492,0.0,True,0.0,True,214.1367839463746,0.0,259.0,1,True
128,0.010178558119067316_0.09036800464548167,MARCH8g1,553.445336199608,0.0,True,0.0,True,276.722668099804,0.0,144.0,1,True (gained)
129,0.010178558119067316_0.09036800464548167,MARCH8g2,469.07157574310185,0.0,True,0.0,True,234.53578787155092,0.0,257.0,1,True
130,0.010178558119067316_0.09036800464548167,MARCH8g3,275.10878604307044,0.0,True,0.0,True,137.55439302153522,0.0,582.0,1,True (gained)
131,0.010178558119067316_0.09036800464548167,MARCH8g4,353.9316956245664,0.0,True,0.0,True,176.9658478122832,0.0,437.0,1,True (gained)
132,0.010178558119067316_0.09036800464548167,NFKBIAg1,534.1355695671763,0.0,True,0.0,True,267.06778478358814,0.0,127.0,1,True (gained)
133,0.010178558119067316_0.09036800464548167,NFKBIAg2,297.0980663716199,0.0,True,0.0,True,148.54903318580995,0.0,465.0,1,True
134,0.010178558119067316_0.09036800464548167,NFKBIAg3,301.7888406962434,0.0,True,0.0,True,150.8944203481217,0.0,434.0,1,True
135,0.010178558119067316_0.09036800464548167,PDCD1LG2g1,361.26911259107465,0.0,True,0.0,True,180.63455629553732,0.0,356.0,1,True (gained)
136,0.010178558119067316_0.09036800464548167,PDCD1LG2g2,382.99953198713644,0.0,True,0.0,True,191.49976599356822,0.0,327.0,1,True (gained)
137,0.010178558119067316_0.09036800464548167,PDCD1LG2g3,500.61582380297284,0.0,True,0.0,True,250.30791190148642,0.0,134.0,1,True
138,0.010178558119067316_0.09036800464548167,PDCD1LG2g4,247.85921065941582,0.0,True,0.0,True,123.92960532970791,0.0,453.0,1,True (gained)
139,0.010178558119067316_0.09036800464548167,POU2F2g1,507.31116913147133,0.0,True,0.0,True,253.65558456573567,0.0,143.0,1,True
140,0.010178558119067316_0.09036800464548167,POU2F2g2,305.852126874353,0.0,True,0.0,True,152.9260634371765,0.0,437.0,1,True (gained)
141,0.010178558119067316_0.09036800464548167,POU2F2g3,449.98808840785796,0.0,True,0.0,True,224.99404420392898,0.0,205.0,1,True
142,0.010178558119067316_0.09036800464548167,SMAD4g1,479.72348080576904,0.0,True,0.0,True,239.86174040288452,0.0,255.0,1,True
143,0.010178558119067316_0.09036800464548167,SMAD4g2,482.1990742346359,0.0,True,0.0,True,241.09953711731794,0.0,220.0,1,True
144,0.010178558119067316_0.09036800464548167,SMAD4g3,289.8152805917247,0.0,True,0.0,True,144.90764029586234,0.0,437.0,1,True
145,0.010178558119067316_0.09036800464548167,SMAD4g4,497.13687317781006,0.0,True,0.0,True,248.56843658890503,0.0,231.0,1,True
146,0.010178558119067316_0.09036800464548167,STAT1g1,566.1317391466594,0.0,True,0.0,True,283.0658695733297,0.0,211.0,1,True
147,0.010178558119067316_0.09036800464548167,STAT1g2,357.88080118369646,0.0,True,0.0,True,178.94040059184823,0.0,348.0,1,True
148,0.010178558119067316_0.09036800464548167,STAT1g3,350.76672543816966,0.0,True,0.0,True,175.38336271908483,0.0,336.0,1,True
149,0.010178558119067316_0.09036800464548167,STAT2g1,424.65029363072824,0.0,True,0.0,True,212.32514681536412,0.0,166.0,1,True
150,0.010178558119067316_0.09036800464548167,STAT2g2,249.89662768399342,0.0,True,0.0,True,124.94831384199671,0.0,673.0,1,True
151,0.010178558119067316_0.09036800464548167,STAT2g3,556.5821950398814,0.0,True,0.0,True,278.2910975199407,0.0,200.0,1,True
152,0.010178558119067316_0.09036800464548167,STAT2g4,490.2703581274984,0.0,True,0.0,True,245.1351790637492,0.0,206.0,1,True
153,0.010178558119067316_0.09036800464548167,STAT3g1,487.7757233086224,0.0,True,0.0,True,243.8878616543112,0.0,193.0,1,True (gained)
154,0.010178558119067316_0.09036800464548167,STAT3g2,337.5539443496273,0.0,True,0.0,True,168.77697217481364,0.0,463.0,1,True (gained)
155,0.010178558119067316_0.09036800464548167,STAT3g3,293.75785864196007,0.0,True,0.0,True,146.87892932098003,0.0,477.0,1,True
156,0.010178558119067316_0.09036800464548167,STAT3g4,461.30259967156263,0.0,True,0.0,True,230.65129983578132,0.0,297.0,1,True
157,0.010178558119067316_0.09036800464548167,STAT5Ag1,529.0416767754366,0.0,True,0.0,True,264.5208383877183,0.0,196.0,1,True
158,0.010178558119067316_0.09036800464548167,STAT5Ag2,425.5082417313766,0.0,True,0.0,True,212.7541208656883,0.0,262.0,1,True (gained)
159,0.010178558119067316_0.09036800464548167,STAT5Ag3,402.7700374222018,0.0,True,0.0,True,201.3850187111009,0.0,286.0,1,True (gained)
160,0.010178558119067316_0.09036800464548167,STAT5Ag4,460.2557914435454,0.0,True,0.0,True,230.1278957217727,0.0,314.0,1,True (gained)
161,0.010178558119067316_0.09036800464548167,TNFRSF14g1,320.53984773260277,0.0,True,0.0,True,160.26992386630138,0.0,393.0,1,True (gained)
162,0.010178558119067316_0.09036800464548167,TNFRSF14g2,257.2950406289777,0.0,True,0.0,True,128.64752031448884,0.0,606.0,1,True (gained)
163,0.010178558119067316_0.09036800464548167,TNFRSF14g3,243.52223841875934,0.0,True,0.0,True,121.76111920937967,0.0,467.0,1,True (gained)
164,0.010178558119067316_0.09036800464548167,UBE2L6g1,309.5530392867623,0.0,True,0.0,True,154.77651964338116,0.0,393.0,1,True (gained)
165,0.010178558119067316_0.09036800464548167,UBE2L6g2,542.9459509143096,0.0,True,0.0,True,271.4729754571548,0.0,122.0,1,True (gained)
166,0.010178558119067316_0.09036800464548167,UBE2L6g4,255.13745275212167,0.0,True,0.0,True,127.56872637606084,0.0,417.0,1,True (gained)
167,0.010178558119067316_0.09036800464548167,control,0.0,0.0,True,0.0,control,0.0,0.0,267.0,1,control
168,0.010178558119067316_0.24425042564574173,ATF2g1,1067.0355499356806,0.0,True,0.0,True,533.5177749678403,0.0,651.0,1,True (gained)
169,0.010178558119067316_0.24425042564574173,ATF2g2,1114.8197333109292,0.0,True,0.0,True,557.4098666554646,0.0,492.0,1,True
170,0.010178558119067316_0.24425042564574173,ATF2g3,1030.7945993185785,0.0,True,0.0,True,515.3972996592893,0.0,743.0,1,True
171,0.010178558119067316_0.24425042564574173,ATF2g4,565.4385355540494,0.0,True,0.0,True,282.7192677770247,0.0,1547.0,1,True (gained)
172,0.010178558119067316_0.24425042564574173,BRD4g1,1020.3239723824254,0.0,True,0.0,True,510.1619861912127,0.0,657.0,1,True
173,0.010178558119067316_0.24425042564574173,BRD4g3,1141.5899284229733,0.0,True,0.0,True,570.7949642114867,0.0,396.0,1,True (gained)
174,0.010178558119067316_0.24425042564574173,BRD4g4,672.0654428636609,0.0,True,0.0,True,336.03272143183045,0.0,938.0,1,True
175,0.010178558119067316_0.24425042564574173,CAV1g1,1257.81937429632,0.0,True,0.0,True,628.90968714816,0.0,629.0,1,True (gained)
176,0.010178558119067316_0.24425042564574173,CAV1g2,666.1036357904752,0.0,True,0.0,True,333.0518178952376,0.0,1237.0,1,True (gained)
177,0.010178558119067316_0.24425042564574173,CAV1g3,946.6917563354282,0.0,True,0.0,True,473.3458781677141,0.0,938.0,1,True (gained)
178,0.010178558119067316_0.24425042564574173,CAV1g4,1286.5470906316662,0.0,True,0.0,True,643.2735453158331,0.0,377.0,1,True (gained)
179,0.010178558119067316_0.24425042564574173,CD86g1,1207.0987225402268,0.0,True,0.0,True,603.5493612701134,0.0,445.0,1,True
180,0.010178558119067316_0.24425042564574173,CD86g2,738.1284750599117,0.0,True,0.0,True,369.06423752995585,0.0,1087.0,1,True
181,0.010178558119067316_0.24425042564574173,CD86g3,887.0202031345077,0.0,True,0.0,True,443.51010156725386,0.0,832.0,1,True (gained)
182,0.010178558119067316_0.24425042564574173,CD86g4,598.0861775604272,0.0,True,0.0,True,299.0430887802136,0.0,1200.0,1,True
183,0.010178558119067316_0.24425042564574173,CMTM6g1,1206.6346456714666,0.0,True,0.0,True,603.3173228357333,0.0,343.0,1,True (gained)
184,0.010178558119067316_0.24425042564574173,CMTM6g2,529.0854172955586,0.0,True,0.0,True,264.5427086477793,0.0,1387.0,1,True
185,0.010178558119067316_0.24425042564574173,CMTM6g3,655.8936064121708,0.0,True,0.0,True,327.9468032060854,0.0,888.0,1,True (gained)
186,0.010178558119067316_0.24425042564574173,CUL3g1,1147.0905480262022,0.0,True,0.0,True,573.5452740131011,0.0,484.0,1,True
187,0.010178558119067316_0.24425042564574173,CUL3g2,689.759341047453,0.0,True,0.0,True,344.8796705237265,0.0,1065.0,1,True
188,0.010178558119067316_0.24425042564574173,ETV7g1,1155.4880482636809,0.0,True,0.0,True,577.7440241318404,0.0,436.0,1,True (gained)
189,0.010178558119067316_0.24425042564574173,ETV7g2,1198.0566327239767,0.0,True,0.0,True,599.0283163619883,0.0,476.0,1,True (gained)
190,0.010178558119067316_0.24425042564574173,ETV7g3,1002.4131862138381,0.0,True,0.0,True,501.20659310691906,0.0,741.0,1,True (gained)
191,0.010178558119067316_0.24425042564574173,ETV7g4,588.61553689176,0.0,True,0.0,True,294.30776844588,0.0,1235.0,1,True (gained)
192,0.010178558119067316_0.24425042564574173,IFNGR1g1,1052.4322652015564,0.0,True,0.0,True,526.2161326007782,0.0,767.0,1,True
193,0.010178558119067316_0.24425042564574173,IFNGR1g2,1240.9738592010121,0.0,True,0.0,True,620.4869296005061,0.0,374.0,1,True
194,0.010178558119067316_0.24425042564574173,IFNGR1g3,957.027805121343,0.0,True,0.0,True,478.5139025606715,0.0,959.0,1,True
195,0.010178558119067316_0.24425042564574173,IFNGR1g4,734.5895031038266,0.0,True,0.0,True,367.2947515519133,0.0,1118.0,1,True
196,0.010178558119067316_0.24425042564574173,IFNGR2g1,947.08169274411,0.0,True,0.0,True,473.540846372055,0.0,856.0,1,True
197,0.010178558119067316_0.24425042564574173,IFNGR2g2,968.4132467358771,0.0,True,0.0,True,484.20662336793856,0.0,1032.0,1,True
198,0.010178558119067316_0.24425042564574173,IFNGR2g3,792.8865661020795,0.0,True,0.0,True,396.44328305103977,0.0,829.0,1,True
199,0.010178558119067316_0.24425042564574173,IFNGR2g4,948.9413868101473,0.0,True,0.0,True,474.47069340507363,0.0,907.0,1,True
