Index,Name,Dataset,Found Names,Found Name IDs,Match Type,Edit Distance,Query Time,ChEMBL,Manual normalization
112,Ivosidenib (AG-120),SrivatsanTrapnell2020_sciplex3,"['ag120', 'ivosidenib']","[['CHEMBL3989958'], ['CHEMBL3989958']]",substring,,9.567500000073892e-05,CHEMBL3989958,unique-id
118,Lapatinib (GW-572016) Ditosylate,SrivatsanTrapnell2020_sciplex3,"['gw572016', 'lapatinib']","[['CHEMBL554'], ['CHEMBL1201179', 'CHEMBL554']]",substring,,0.0001012650000014,CHEMBL554,majority-voting
123,Valproic acid sodium salt (Sodium valproate),SrivatsanTrapnell2020_sciplex3,"['salt', 'valproate']","[['CHEMBL3544989'], ['CHEMBL109']]",substring,,0.0001021130000005,CHEMBL3544989;CHEMBL109,majority-voting
124,Motesanib Diphosphate (AMG-706),SrivatsanTrapnell2020_sciplex3,"['amg706', 'motesanib']","[['CHEMBL2107357', 'CHEMBL572881'], ['CHEMBL572881']]",substring,,9.503200000082757e-05,CHEMBL572881,majority-voting
135,Filgotinib (GLPG0634),SrivatsanTrapnell2020_sciplex3,"['filgotinib', 'glpg0634']","[['CHEMBL3301607'], ['CHEMBL3301607']]",substring,,9.437499999975783e-05,CHEMBL3301607,unique-id
136,Veliparib (ABT-888),SrivatsanTrapnell2020_sciplex3,"['abt888', 'veliparib']","[['CHEMBL506871'], ['CHEMBL506871']]",substring,,8.668699999958562e-05,CHEMBL506871,unique-id
137,Danusertib (PHA-739358),SrivatsanTrapnell2020_sciplex3,"['danusertib', 'pha739358']","[['CHEMBL402548'], ['CHEMBL402548']]",substring,,0.0001624219999989,CHEMBL402548,unique-id
138,Alvespimycin (17-DMAG) HCl,SrivatsanTrapnell2020_sciplex3,['alvespimycin'],[['CHEMBL383824']],substring,,7.045499999946969e-05,CHEMBL383824,unique-id
140,2-Methoxyestradiol (2-MeOE2),SrivatsanTrapnell2020_sciplex3,['2methoxyestradiol'],[['CHEMBL299613']],substring,,6.9279000001643e-05,CHEMBL299613,unique-id
142,"Baricitinib (LY3009104, INCB028050)",SrivatsanTrapnell2020_sciplex3,"['baricitinib', 'incb028050', 'ly3009104']","[['CHEMBL2105759'], ['CHEMBL2105759'], ['CHEMBL2105759']]",substring,,0.000143138000002,CHEMBL2105759,unique-id
143,"Fedratinib (SAR302503, TG101348)",SrivatsanTrapnell2020_sciplex3,"['fedratinib', 'sar302503', 'tg101348']","[['CHEMBL1287853'], ['CHEMBL1287853'], ['CHEMBL1287853']]",substring,,0.0001149669999982,CHEMBL1287853,unique-id
145,S-Ruxolitinib (INCB018424),SrivatsanTrapnell2020_sciplex3,['incb018424'],[['CHEMBL1789941']],substring,,9.508900000199104e-05,CHEMBL1789941,unique-id
147,Tofacitinib (CP-690550) Citrate,SrivatsanTrapnell2020_sciplex3,"['citrate', 'cp690550', 'tofacitinib']","[['CHEMBL1261'], ['CHEMBL221959'], ['CHEMBL221959']]",substring,,0.0001362569999976,CHEMBL221959,majority-voting
149,SGI-1776 free base,SrivatsanTrapnell2020_sciplex3,['sgi1776'],[['CHEMBL1952329']],substring,,6.610299999820768e-05,CHEMBL1952329,unique-id
150,Nilotinib (AMN-107),SrivatsanTrapnell2020_sciplex3,"['amn107', 'nilotinib']","[['CHEMBL255863'], ['CHEMBL255863']]",substring,,8.862700000022983e-05,CHEMBL255863,unique-id
151,Tranylcypromine (2-PCPA) HCl,SrivatsanTrapnell2020_sciplex3,['tranylcypromine'],"[['CHEMBL257990', 'CHEMBL313833', 'CHEMBL3989843']]",substring,,7.619499999833579e-05,CHEMBL257990;CHEMBL313833;CHEMBL3989843,majority-voting
160,AICAR (Acadesine),SrivatsanTrapnell2020_sciplex3,['acadesine'],[['CHEMBL1551724']],substring,,6.824100000102362e-05,CHEMBL1551724,unique-id
161,Mocetinostat (MGCD0103),SrivatsanTrapnell2020_sciplex3,"['mgcd0103', 'mocetinostat']","[['CHEMBL272980'], ['CHEMBL272980']]",substring,,8.7665000002346e-05,CHEMBL272980,unique-id
167,Flavopiridol HCl,SrivatsanTrapnell2020_sciplex3,['flavopiridol'],[['CHEMBL428690']],substring,,0.000104775999997,CHEMBL428690,unique-id
169,Rigosertib (ON-01910),SrivatsanTrapnell2020_sciplex3,"['on01910', 'rigosertib']","[['CHEMBL1241855', 'CHEMBL2013119'], ['CHEMBL1241855']]",substring,,9.97839999996586e-05,CHEMBL1241855,majority-voting
170,GSK J1,SrivatsanTrapnell2020_sciplex3,['j1'],[['CHEMBL4303060']],substring,,6.751899999812849e-05,CHEMBL4303060,unique-id
172,Givinostat (ITF2357),SrivatsanTrapnell2020_sciplex3,['givinostat'],[['CHEMBL1213492']],substring,,6.79310000002431e-05,CHEMBL1213492,unique-id
174,Vandetanib (ZD6474),SrivatsanTrapnell2020_sciplex3,"['vandetanib', 'zd6474']","[['CHEMBL24828'], ['CHEMBL24828']]",substring,,8.691900000101782e-05,CHEMBL24828,unique-id
176,Pelitinib (EKB-569),SrivatsanTrapnell2020_sciplex3,"['ekb569', 'pelitinib']","[['CHEMBL607707'], ['CHEMBL607707']]",substring,,9.146200000031968e-05,CHEMBL607707,unique-id
177,Mercaptopurine (6-MP),SrivatsanTrapnell2020_sciplex3,['mercaptopurine'],"[['CHEMBL1200751', 'CHEMBL1425']]",substring,,7.847500000224272e-05,CHEMBL1200751;CHEMBL1425,majority-voting
178,"Rucaparib (AG-014699,PF-01367338) phosphate",SrivatsanTrapnell2020_sciplex3,['rucaparib'],[['CHEMBL1173055']],substring,,7.569299999943269e-05,CHEMBL1173055,unique-id
179,INO-1001 (3-Aminobenzamide),SrivatsanTrapnell2020_sciplex3,"['3aminobenzamide', 'ino1001']","[['CHEMBL81977'], ['CHEMBL1556']]",substring,,9.402399999913769e-05,CHEMBL81977;CHEMBL1556,majority-voting
180,"Luminespib (AUY-922, NVP-AUY922)",SrivatsanTrapnell2020_sciplex3,"['luminespib', 'nvpauy922']","[['CHEMBL252164'], ['CHEMBL252164']]",substring,,8.98549999988063e-05,CHEMBL252164,unique-id
182,Tazemetostat (EPZ-6438),SrivatsanTrapnell2020_sciplex3,"['epz6438', 'tazemetostat']","[['CHEMBL3414621'], ['CHEMBL3414621']]",substring,,8.630399999987048e-05,CHEMBL3414621,unique-id
183,Streptozotocin (STZ),SrivatsanTrapnell2020_sciplex3,"['streptozotocin', 'stz']","[['CHEMBL1651906'], ['CHEMBL1651906']]",substring,,8.438900000129479e-05,CHEMBL1651906,unique-id
185,Entinostat (MS-275),SrivatsanTrapnell2020_sciplex3,"['entinostat', 'ms275']","[['CHEMBL27759'], ['CHEMBL27759']]",substring,,8.360500000037518e-05,CHEMBL27759,unique-id
193,Tacedinaline (CI994),SrivatsanTrapnell2020_sciplex3,"['ci994', 'tacedinaline']","[['CHEMBL235191'], ['CHEMBL235191']]",substring,,8.967699999828938e-05,CHEMBL235191,unique-id
196,Pracinostat (SB939),SrivatsanTrapnell2020_sciplex3,"['pracinostat', 'sb939']","[['CHEMBL1851943'], ['CHEMBL1851943']]",substring,,0.0001314240000027,CHEMBL1851943,unique-id
199,YM155 (Sepantronium Bromide),SrivatsanTrapnell2020_sciplex3,"['bromide', 'sepantronium', 'ym155']","[['CHEMBL1231461'], ['CHEMBL2110734'], ['CHEMBL2105734']]",substring,,0.0001640399999978,CHEMBL1231461;CHEMBL2110734;CHEMBL2105734,majority-voting
200,AC480 (BMS-599626),SrivatsanTrapnell2020_sciplex3,"['ac480', 'bms599626']","[['CHEMBL1645462'], ['CHEMBL1645462']]",substring,,8.519100000015101e-05,CHEMBL1645462,unique-id
201,Cediranib (AZD2171),SrivatsanTrapnell2020_sciplex3,"['azd2171', 'cediranib']","[['CHEMBL491473'], ['CHEMBL491473']]",substring,,8.79170000018803e-05,CHEMBL491473,unique-id
203,"Cerdulatinib (PRT062070, PRT2070)",SrivatsanTrapnell2020_sciplex3,"['cerdulatinib', 'prt062070', 'prt2070']","[['CHEMBL4116008'], ['CHEMBL4116008'], ['CHEMBL4116008']]",substring,,0.0001048380000021,CHEMBL4116008,unique-id
